Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial Estimate,US East (N. Virginia),,Amazon EC2,0,2890.56,34686.72,USD,"Operating system (Linux), Quantity (8), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.4xlarge)"
Initial Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2604.504,31254.05,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (db.m5.4xlarge)"
Initial Estimate,US East (N. Virginia),,Application Load Balancer,0,1632.85,19594.20,USD,Number of Application Load Balancers (2)
Initial Estimate,US East (N. Virginia),,Amazon API Gateway,0,45,540.00,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (10 per month), Requests (10 per month)"
Initial Estimate,US East (N. Virginia),,S3 Standard,0,0.23,2.76,USD,S3 Standard storage (10 GB per month)
Initial Estimate,US East (N. Virginia),,Data Transfer,0,921.51,11058.12,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month)"
Initial Estimate,US East (Ohio),,DynamoDB provisioned capacity,180,51.14,793.68,USD,"Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (100 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
